Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T23:58:12
Nivel: level_2
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.47x0.54, pesos(a/s/o/p)=1.20/1.05/1.55/1.20, escenario=mixed_vs_1_agent

Resumen:
- Gen 1: best=3959.2 | kills=2/8 | dmg=140 | stuck=32f | osc=0 | hongos=0 | success=0%
- Gen 2: best=3980.2 | kills=2/8 | dmg=140 | stuck=30f | osc=0 | hongos=0 | success=0%
- Gen 3: best=4079.2 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 4: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 5: best=4252.1 | kills=2/8 | dmg=170 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 6: best=4111.0 | kills=2/8 | dmg=155 | stuck=27f | osc=0 | hongos=0 | success=0%
- Gen 7: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 8: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 9: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 10: best=4080.3 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Validacion final: NO PASO | kills=3/8 | dmg=220 | sim_t=150.0s | real_t=1.7s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=3/10 | ind=15/15 | fit=3893.91 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.43s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=1/15 | fit=4080.06 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.50s | frames=7600 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=2/15 | fit=3980.96 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=30f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=3/15 | fit=3959.18 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.45s | frames=7600 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=4/15 | fit=3776.60 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.48s | frames=7600 | stuck=47f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=5/15 | fit=3870.95 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.34s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=6/15 | fit=1209.33 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.51s | frames=7600 | stuck=62f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=7/15 | fit=3857.54 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.43s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=8/15 | fit=4077.62 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.44s | frames=7600 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=9/15 | fit=3895.18 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.46s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=10/15 | fit=1488.15 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.58s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=11/15 | fit=3907.36 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.45s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=12/15 | fit=3871.97 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.36s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=13/15 | fit=3980.96 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.39s | frames=7600 | stuck=30f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=14/15 | fit=3965.24 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=15/15 | fit=4007.69 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.45s | frames=7600 | stuck=29f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=1/15 | fit=4017.29 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.43s | frames=7600 | stuck=29f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=2/15 | fit=4007.69 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=29f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=3/15 | fit=4080.06 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.45s | frames=7600 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
