Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T21:12:43
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14387.8 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=33%
- Gen 2: best=14387.8 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=40%
- Gen 3: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 4: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=60%
- Gen 5: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=73%
- Gen 6: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 7: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 8: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 9: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 10: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=93.7s | real_t=0.6s | stuck_max=42f | osc=0 | hongos=0

Detalle por individuo:
- gen=5/10 | ind=4/15 | fit=8934.61 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.29s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=5/15 | fit=9056.70 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=47f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=6/15 | fit=13878.38 | kills=5/5 | dmg=330 | sim_t=121.60s | real_t=0.66s | frames=7296 | stuck=94f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=7/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.55s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=8/15 | fit=6805.11 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=9/15 | fit=14366.35 | kills=5/5 | dmg=330 | sim_t=121.78s | real_t=0.77s | frames=7307 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=10/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.56s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=11/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.56s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=12/15 | fit=14182.46 | kills=5/5 | dmg=330 | sim_t=148.07s | real_t=0.81s | frames=8884 | stuck=60f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=13/15 | fit=9008.44 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
